,QQQM,units bought of QQQM,cumulative QQQM,cost of QQQM,total cost of QQQM,value of QQQM,SPCE,units bought of SPCE,cumulative SPCE,cost of SPCE,total cost of SPCE,value of SPCE,TBT220121C00025000,units bought of TBT220121C00025000,cumulative TBT220121C00025000,cost of TBT220121C00025000,total cost of TBT220121C00025000,value of TBT220121C00025000,AGC220121C00015000,units bought of AGC220121C00015000,cumulative AGC220121C00015000,cost of AGC220121C00015000,total cost of AGC220121C00015000,value of AGC220121C00015000,ETH-USD,units bought of ETH-USD,cumulative ETH-USD,cost of ETH-USD,total cost of ETH-USD,value of ETH-USD,ADA-USD,units bought of ADA-USD,cumulative ADA-USD,cost of ADA-USD,total cost of ADA-USD,value of ADA-USD,SHIB-USD,units bought of SHIB-USD,cumulative SHIB-USD,cost of SHIB-USD,total cost of SHIB-USD,value of SHIB-USD,CRO-USD,units bought of CRO-USD,cumulative CRO-USD,cost of CRO-USD,total cost of CRO-USD,value of CRO-USD,SOL-USD,units bought of SOL-USD,cumulative SOL-USD,cost of SOL-USD,total cost of SOL-USD,value of SOL-USD,total invested,total value
2021-06-24,143.4295654296875,0.0,0.0,0.0,0.0,0.0,40.2599983215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.456298828125,0.0,0.0449,113.95131098632812,113.95131098632812,89.28168781738282,1.3560869693756104,0.0,49.98,74.09900015830993,74.09900015830993,67.777226729393,7.000000096013537e-06,0.0,0.0,0.0,0.0,0.0,0.10080700367689133,0.0,0.0,0.0,0.0,0.0,31.181034088134766,0.0,0.0,0.0,0.0,0.0,188.05031114463804,157.05891454677584
2021-06-25,143.32977294921875,0.0,0.0,0.0,0.0,0.0,55.90999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.21728515625,0.0,0.0449,113.95131098632812,113.95131098632812,81.41345610351563,1.256477952003479,0.0,49.98,74.09900015830993,74.09900015830993,62.798768041133876,7.000000096013537e-06,0.0,0.0,0.0,0.0,0.0,0.09495700150728226,0.0,0.0,0.0,0.0,0.0,28.698862075805664,0.0,0.0,0.0,0.0,0.0,188.05031114463804,144.2122241446495
2021-06-26,143.32977294921875,0.0,0.0,0.0,0.0,0.0,55.90999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829.2392578125,0.0,0.0449,113.95131098632812,113.95131098632812,82.13284267578125,1.250440001487732,0.0,49.98,74.09900015830993,74.09900015830993,62.49699127435684,7.000000096013537e-06,0.0,0.0,0.0,0.0,0.0,0.09536900371313095,0.0,0.0,0.0,0.0,0.0,29.712854385375977,0.0,0.0,0.0,0.0,0.0,188.05031114463804,144.62983395013808
2021-06-27,143.32977294921875,0.0,0.0,0.0,0.0,0.0,55.90999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.8946533203125,0.0,0.0449,113.95131098632812,113.95131098632812,88.85236993408203,1.3352019786834717,0.0,49.98,74.09900015830993,74.09900015830993,66.73339489459991,7.999999979801942e-06,0.0,0.0,0.0,0.0,0.0,0.10626699775457382,0.0,0.0,0.0,0.0,0.0,31.929391860961914,0.0,0.0,0.0,0.0,0.0,188.05031114463804,155.58576482868193
2021-06-28,145.0862274169922,0.0,0.0,0.0,0.0,0.0,54.84000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2079.657470703125,0.0,0.0449,113.95131098632812,113.95131098632812,93.37662043457031,1.3247519731521606,0.0,49.98,74.09900015830993,74.09900015830993,66.21110361814499,7.999999979801942e-06,0.0,0.0,0.0,0.0,0.0,0.10906200110912323,0.0,0.0,0.0,0.0,0.0,32.92778015136719,0.0,0.0,0.0,0.0,0.0,188.05031114463804,159.58772405271532
2021-06-29,145.55528259277344,0.0,0.0,0.0,0.0,0.0,47.02000045776367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.768310546875,0.0,0.0449,113.95131098632812,113.95131098632812,97.0184971435547,1.3684370517730713,0.0,49.98,74.09900015830993,74.09900015830993,68.3944838476181,9.000000318337698e-06,0.0,0.0,0.0,0.0,0.0,0.1153549998998642,0.0,0.0,0.0,0.0,0.0,33.86680221557617,0.0,0.0,0.0,0.0,0.0,188.05031114463804,165.4129809911728
2021-06-30,145.4355010986328,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2274.547607421875,0.0,0.0449,113.95131098632812,113.95131098632812,102.1271875732422,1.383471965789795,0.0,49.98,74.09900015830993,74.09900015830993,69.14592885017395,9.000000318337698e-06,0.0,0.0,0.0,0.0,0.0,0.11535000056028366,0.0,0.0,0.0,0.0,0.0,35.55640411376953,0.0,0.0,0.0,0.0,0.0,188.05031114463804,171.27311642341613
2021-07-01,145.4355010986328,0.0,0.0,0.0,0.0,0.0,43.189998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,2113.60546875,0.0,0.0449,113.95131098632812,113.95131098632812,94.900885546875,1.3356109857559204,0.0,49.98,74.09900015830993,74.09900015830993,66.7538370680809,7.999999979801942e-06,4554085.0,4554085.0,36.432679908016325,36.432679908016325,36.432679908016325,0.11211299896240234,0.0,0.0,0.0,0.0,0.0,33.40403366088867,0.0,0.0,0.0,0.0,0.0,224.48299105265437,198.08740252297224
2021-07-02,147.0721893310547,0.0,0.0,0.0,0.0,0.0,44.939998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2150.040283203125,0.0,0.0449,113.95131098632812,113.95131098632812,96.53680871582031,1.3943970203399658,0.0,49.98,74.09900015830993,74.09900015830993,69.69196307659149,7.999999979801942e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,36.432679908016325,0.11391399800777435,0.0,0.0,0.0,0.0,0.0,34.02048110961914,0.0,0.0,0.0,0.0,0.0,224.48299105265437,202.66145170042813
2021-07-03,147.0721893310547,0.0,0.0,0.0,0.0,0.0,44.939998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2226.1142578125,0.0,0.0449,113.95131098632812,113.95131098632812,99.95253017578125,1.4068360328674316,0.0,49.98,74.09900015830993,74.09900015830993,70.31366492271422,9.000000318337698e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,40.98676644973693,0.1184070035815239,0.0,0.0,0.0,0.0,0.0,34.478816986083984,0.0,0.0,0.0,0.0,0.0,224.48299105265437,211.2529615482324
2021-07-04,147.0721893310547,0.0,0.0,0.0,0.0,0.0,44.939998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2321.72412109375,0.0,0.0449,113.95131098632812,113.95131098632812,104.24541303710939,1.458184003829956,0.0,49.98,74.09900015830993,74.09900015830993,72.8800365114212,9.000000318337698e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,40.98676644973693,0.12242700159549713,0.0,0.0,0.0,0.0,0.0,34.31060028076172,0.0,0.0,0.0,0.0,0.0,224.48299105265437,218.11221599826752
2021-07-05,147.0721893310547,0.0,0.0,0.0,0.0,0.0,44.939998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2198.58251953125,0.0,0.0449,113.95131098632812,113.95131098632812,98.71635512695313,1.4048980474472046,0.0,49.98,74.09900015830993,74.09900015830993,70.21680441141127,7.999999979801942e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,36.432679908016325,0.11581400036811829,0.0,0.0,0.0,0.0,0.0,32.984588623046875,0.0,0.0,0.0,0.0,0.0,224.48299105265437,205.36583944638073
2021-07-06,147.6610107421875,0.0,0.0,0.0,0.0,0.0,46.310001373291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2324.679443359375,0.0,0.0449,113.95131098632812,113.95131098632812,104.37810700683595,1.4180530309677124,0.0,49.98,74.09900015830993,74.09900015830993,70.87429048776626,9.000000318337698e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,40.98676644973693,0.12285599857568741,0.0,0.0,0.0,0.0,0.0,34.26913833618164,0.0,0.0,0.0,0.0,0.0,224.48299105265437,216.23916394433914
2021-07-07,147.95042419433594,0.0,0.0,0.0,0.0,0.0,44.91999816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2315.161865234375,0.0,0.0449,113.95131098632812,113.95131098632812,103.95076774902344,1.4031180143356323,0.0,49.98,74.09900015830993,74.09900015830993,70.1278383564949,9.000000318337698e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,40.98676644973693,0.11960499733686447,0.0,0.0,0.0,0.0,0.0,36.59136962890625,0.0,0.0,0.0,0.0,0.0,224.48299105265437,215.0653725552553
2021-07-08,147.14205932617188,0.0,0.0,0.0,0.0,0.0,52.689998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2120.0263671875,0.0,0.0449,113.95131098632812,113.95131098632812,95.18918388671875,1.3301459550857544,0.0,49.98,74.09900015830993,74.09900015830993,66.480694835186,7.999999979801942e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,36.432679908016325,0.114717997610569,0.0,0.0,0.0,0.0,0.0,33.20372772216797,0.0,0.0,0.0,0.0,0.0,224.48299105265437,198.10255862992108
2021-07-09,148.04022216796875,0.0,0.0,0.0,0.0,0.0,49.20000076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2146.6923828125,0.0,0.0449,113.95131098632812,113.95131098632812,96.38648798828126,1.3494739532470703,28.74,78.72,38.783881416320796,112.88288157463073,106.23058959960937,7.999999979801942e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,36.432679908016325,0.11990900337696075,0.0,0.0,0.0,0.0,0.0,33.2646484375,0.0,0.0,0.0,0.0,0.0,263.2668724689752,239.04975749590696
2021-07-10,148.04022216796875,0.0,0.0,0.0,0.0,0.0,49.20000076293945,2.0,2.0,98.4000015258789,98.4000015258789,98.4000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2111.403564453125,0.0,0.0449,113.95131098632812,113.95131098632812,94.80202004394532,1.3360849618911743,0.0,78.72,38.783881416320796,112.88288157463073,105.17660820007325,7.999999979801942e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,36.432679908016325,0.1184919998049736,0.0,0.0,0.0,0.0,0.0,31.788644790649414,0.0,0.0,0.0,0.0,0.0,361.6668739948541,334.8113096779138
2021-07-11,148.04022216796875,0.0,0.0,0.0,0.0,0.0,49.20000076293945,0.0,2.0,98.4000015258789,98.4000015258789,98.4000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2139.664794921875,0.0,0.0449,113.95131098632812,113.95131098632812,96.07094929199219,1.3481450080871582,0.0,78.72,38.783881416320796,112.88288157463073,106.12597503662109,7.999999979801942e-06,0.0,4554085.0,36.432679908016325,36.432679908016325,36.432679908016325,0.13128699362277985,0.0,0.0,0.0,0.0,0.0,32.17784118652344,0.0,0.0,0.0,0.0,0.0,361.6668739948541,337.0296057625085
